player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Mike Evans,8642,WR,16,TB,168,96,57.1,1321,12,91.7,91.5,66.9,83.5,,13.8,188,2.0,45,81,7,8,0,3,86.4,4,1
Odell Beckham Jr.,8647,WR,16,NYG,161,101,62.7,1367,10,87.0,87.5,67.6,39.5,,13.5,532,5.3,75,66,8,2,2,29,105.3,7,1
Antonio Brown,5718,WR,15,PIT,151,106,70.2,1284,12,88.8,89.5,90.8,88.4,,12.1,409,3.9,51,63,2,3,0,9,114.2,9,3
Larry Fitzgerald,1724,WR,16,ARZ,147,107,72.8,1023,6,83.3,80.2,88.5,43.3,75.1,9.6,364,3.4,32,59,4,3,2,13,96.8,1,0
Jordy Nelson,4350,WR,16,GB,146,97,66.4,1257,14,82.3,81.2,85.4,57.1,,13.0,386,4.0,60,62,4,1,1,4,122.4,0,0
Julian Edelman,5156,WR,16,NE,146,98,67.1,1106,3,76.9,77.9,44.6,29.4,60.5,11.3,486,5.0,77,55,12,0,1,14,96.4,4,1
Allen Robinson II,8696,WR,16,JAX,144,73,50.7,883,6,69.8,68.6,44.0,49.3,,12.1,195,2.7,42,51,9,7,1,4,63.5,3,1
T.Y. Hilton,7092,WR,16,IND,143,91,63.6,1448,6,86.7,85.9,54.8,83.7,,15.9,328,3.6,63,66,8,5,0,7,96.7,0,0
Michael Crabtree,4933,WR,16,OAK,142,89,62.7,1003,8,79.2,79.3,39.9,55.5,,11.3,273,3.1,56,55,13,2,2,14,96.7,9,0
Demaryius Thomas,5547,WR,16,DEN,141,90,63.8,1083,5,80.4,78.6,68.2,29.8,,12.0,330,3.7,55,50,7,2,2,6,93.2,4,1
DeAndre Hopkins,7808,WR,16,HST,138,78,56.5,954,4,77.5,76.2,78.0,82.1,,12.2,250,3.2,51,56,4,9,0,6,60.5,5,0
Terrelle Pryor Sr.,6944,WR,16,CLV,132,77,58.3,1007,4,74.7,79.6,67.9,58.1,,13.1,213,2.8,54,48,6,6,0,5,73.6,9,2
Emmanuel Sanders,5606,WR,16,DEN,131,79,60.3,1032,5,81.5,81.4,90.6,51.6,,13.1,263,3.3,64,50,1,5,1,12,82.0,5,1
Golden Tate,5585,WR,16,DET,131,91,69.5,1077,4,71.6,72.3,68.3,41.1,,11.8,623,6.8,67,45,7,3,1,23,94.9,4,0
Amari Cooper,9437,WR,16,OAK,127,83,65.4,1154,5,79.0,79.7,78.8,54.2,,13.9,448,5.4,64,47,4,2,2,12,101.0,3,0
Julio Jones,6158,WR,14,ATL,125,83,66.4,1409,6,91.9,91.8,69.8,82.4,62.3,17.0,415,5.0,75,64,6,4,0,7,107.1,3,0
Greg Olsen,3647,TE,16,CAR,122,80,65.6,1073,3,83.4,84.9,84.9,82.2,72.3,13.4,369,4.6,78,55,2,4,0,3,87.9,3,1
Jarvis Landry,8698,WR,16,MIA,122,94,77.0,1136,4,83.6,85.9,85.5,28.7,,12.1,630,6.7,71,52,5,2,1,22,109.2,10,3
Brandon Marshall,3064,WR,15,NYJ,121,59,48.8,788,3,69.2,68.5,52.3,83.3,68.5,13.4,187,3.2,41,43,7,9,0,3,47.1,4,2
Kyle Rudolph,6195,TE,16,MIN,120,83,69.2,840,7,73.2,75.3,69.3,84.4,77.5,10.1,363,4.4,44,50,5,1,0,6,104.9,2,0
Michael Thomas,10681,WR,15,NO,119,92,77.3,1137,9,86.4,86.3,83.6,29.7,,12.4,478,5.2,46,62,4,4,2,20,117.5,1,0
Davante Adams,8688,WR,16,GB,118,75,63.6,997,12,70.2,69.8,45.4,28.3,,13.3,407,5.4,66,45,9,4,2,13,110.0,4,0
Doug Baldwin,6615,WR,16,SEA,117,94,80.3,1128,7,82.8,81.1,79.1,56.3,79.7,12.0,479,5.1,59,52,4,2,1,11,119.7,2,0
Dennis Pitta,5638,TE,16,BLT,116,86,74.1,729,2,61.8,62.6,76.2,53.8,33.8,8.5,312,3.6,30,37,5,3,1,4,85.0,2,0
