year,player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
2017,Marcus Williams,9115,CB,1,HST,1,1,31,1,31
2017,Allen Robinson II,8696,WR,1,JAX,1,1,17,1,17
2017,Brett Hundley,9580,QB,1,GB,1,1,10,1,10
2017,Taiwan Jones,6277,HB,1,BUF,2,1,11,2,5.5
2017,Brian Hill,11911,HB,2,CIN,2,2,36,7,5.14
2017,De'Veon Smith,45671,HB,1,MIA,3,3,27,6,4.5
2017,Corey Grant,9827,HB,6,JAX,4,3,41,10,4.1
2017,Emanuel Byrd,25432,TE,1,GB,2,2,31,8,3.88
2017,Jamal Agnew,11920,CB,4,DET,2,2,18,5,3.6
2017,Freddie Martino,9292,WR,7,TB,6,5,96,28,3.43
2017,Tre Madden,11286,FB,6,SEA,2,2,65,20,3.25
2017,Julio Jones,6158,WR,16,ATL,143,88,1444,469,3.08
2017,Joe Kerridge,11408,FB,1,GB,1,1,3,1,3
2017,Bobo Wilson,12067,WR,3,TB,1,1,18,6,3
2017,Ricky Seals-Jones,12020,TE,8,ARZ,28,12,201,68,2.96
2017,Antonio Brown,5718,WR,14,PIT,155,101,1533,534,2.87
2017,Alvin Kamara,11822,HB,16,NO,96,81,826,291,2.84
2017,Mack Brown,10115,HB,2,MIN,1,1,11,4,2.75
2017,Ifeanyi Momah,8557,TE,6,ARZ,2,1,46,17,2.71
2017,De'Angelo Henderson Sr.,11958,HB,2,DEN,2,2,36,14,2.57
2017,Keenan Allen,7857,WR,16,LAC,147,102,1393,547,2.55
2017,Rob Gronkowski,5567,TE,14,NE,100,69,1084,448,2.42
2017,DeAndre Hopkins,7808,WR,15,HST,164,96,1378,576,2.39
2017,Michael Thomas,10681,WR,16,NO,139,104,1245,521,2.39
2017,David Johnson,9519,HB,1,ARZ,8,6,67,28,2.39
2017,Rex Burkhead,7971,HB,10,NE,36,30,254,107,2.37
2017,Jakeem Grant,10820,WR,12,MIA,21,13,203,86,2.36
2017,Tyreek Hill,10799,WR,15,KC,102,75,1183,504,2.35
2017,Fozzy Whittaker,8547,HB,8,CAR,6,5,47,20,2.35
2017,Chris Thompson,7936,HB,10,WAS,51,39,510,218,2.34
2017,Marcus Murphy,9663,HB,1,BUF,2,2,7,3,2.33
2017,Adam Thielen,8288,WR,16,MIN,135,91,1276,548,2.33
2017,Bernard Reedy,9228,WR,5,NE,2,2,21,9,2.33
2017,Austin Ekeler,12164,HB,13,LAC,31,27,279,122,2.29
2017,Orson Charles,7116,TE,5,KC,2,2,53,24,2.21
2017,Robert Woods,7822,WR,12,LA,80,56,781,360,2.17
2017,JuJu Smith-Schuster,11817,WR,14,PIT,77,58,917,424,2.16
2017,Todd Gurley II,9443,HB,15,LA,76,64,788,368,2.14
2017,Brice Butler,7991,WR,13,DAL,22,15,317,148,2.14
2017,Kyle Juszczyk,7912,FB,14,SF,39,33,315,150,2.1
2017,A.J. Green,6156,WR,16,CIN,134,75,1078,517,2.09
2017,Odell Beckham Jr.,8647,WR,4,NYG,41,25,302,145,2.08
2017,Marvin Hall,11440,WR,8,ATL,8,2,60,29,2.07
2017,Cooper Kupp,11824,WR,15,LA,90,62,869,424,2.05
2017,Duke Johnson Jr.,9510,HB,16,CLV,89,73,684,333,2.05
2017,Hunter Henry,10669,TE,14,LAC,60,45,579,282,2.05
2017,Travis Kelce,7844,TE,15,KC,117,83,1038,511,2.03
2017,Chris Godwin,11839,WR,16,TB,54,34,525,258,2.03
2017,Kapri Bibbs,8906,HB,3,WAS,16,14,128,63,2.03
2017,Josh Gordon,7618,WR,5,CLV,41,18,335,167,2.01
2017,Zach Ertz,7816,TE,14,PHI,102,74,824,412,2
2017,Benny Cunningham,8283,HB,13,CHI,25,20,240,121,1.98
2017,Jalen Richard,11395,HB,16,OAK,31,27,256,130,1.97
2017,Marquise Goodwin,7859,WR,16,SF,99,56,962,496,1.94
2017,Ted Ginn Jr.,3625,WR,15,NO,69,53,787,408,1.93
2017,Adam Shaheen,11800,TE,12,CHI,14,12,127,66,1.92
2017,Kelvin Benjamin,8663,WR,14,BUF,78,48,692,363,1.91
2017,Robby Anderson,11254,WR,16,NYJ,111,63,941,492,1.91
2017,Stefon Diggs,9579,WR,14,MIN,94,64,849,446,1.9
2017,Golden Tate,5585,WR,16,DET,117,92,1003,534,1.88
2017,Derek Carrier,7406,TE,14,LA,11,8,71,38,1.87
2017,O.J. Howard,11774,TE,14,TB,36,26,432,233,1.85
2017,Charles Clay,6326,TE,13,BUF,72,49,558,305,1.83
2017,Delanie Walker,3120,TE,16,TEN,103,73,804,440,1.83
2017,Joe Mixon,11803,HB,14,CIN,34,30,287,157,1.83
2017,Doug Baldwin,6615,WR,16,SEA,112,75,991,543,1.83
2017,Pierre Garcon,4519,WR,8,SF,65,40,500,279,1.79
2017,Tarik Cohen,11874,HB,16,CHI,65,53,353,198,1.78
2017,Brandin Cooks,8655,WR,16,NE,109,65,1082,609,1.78
2017,Larry Fitzgerald,1724,WR,16,ARZ,153,109,1156,650,1.78
2017,Danny Woodhead,4914,HB,8,BLT,37,33,200,113,1.77
2017,D'Onta Foreman,11844,HB,9,HST,7,6,83,47,1.77
2017,Marvin Jones Jr.,7158,WR,16,DET,105,61,1101,626,1.76
2017,Davante Adams,8688,WR,14,GB,108,74,885,504,1.76
2017,Mike Davis,9559,HB,6,SEA,17,15,131,75,1.75
2017,T.J. Yeldon,9469,HB,10,JAX,35,30,224,128,1.75
2017,Demaryius Thomas,5547,WR,16,DEN,136,83,949,546,1.74
2017,Jamison Crowder,9538,WR,15,WAS,96,66,789,453,1.74
2017,T.Y. Hilton,7092,WR,16,IND,102,57,966,555,1.74
2017,Rishard Matthews,7211,WR,14,TEN,84,53,795,459,1.73
2017,Alex Collins,10805,HB,13,BLT,32,23,187,108,1.73
2017,Tommylee Lewis,11231,WR,13,NO,15,10,116,68,1.71
2017,C.J. Prosise,10724,HB,5,SEA,10,6,87,51,1.71
2017,C.J. Ham,11347,FB,15,MIN,8,7,68,40,1.7
2017,Mark Ingram II,6180,HB,16,NO,65,58,416,244,1.7
2017,Mike Evans,8642,WR,15,TB,132,71,1001,591,1.69
2017,Danny Amendola,4717,WR,15,NE,80,61,659,390,1.69
2017,Marqise Lee,8674,WR,14,JAX,91,56,702,421,1.67
2017,Sterling Shepard,10674,WR,11,NYG,83,59,731,439,1.67
2017,Vernon Davis,2951,TE,16,WAS,68,43,648,389,1.67
2017,Kenny Golladay,11851,WR,11,DET,48,28,477,288,1.66
2017,Brenton Bersin,7516,WR,8,CAR,13,8,128,77,1.66
2017,Jarvis Landry,8698,WR,16,MIA,156,112,987,600,1.65
2017,Johnny Holton,11354,WR,15,OAK,18,9,218,133,1.64
2017,Mike Wallace,5007,WR,15,BLT,87,52,748,455,1.64
2017,Albert Wilson,8943,WR,13,KC,56,42,554,338,1.64
2017,Theo Riddick,7980,HB,16,DET,68,53,444,270,1.64
2017,Vance McDonald,7836,TE,10,PIT,22,14,188,115,1.63
2017,Jordan Leslie,9897,WR,2,CLV,1,1,26,16,1.63
2017,Devontae Booker,10770,HB,13,DEN,36,30,275,169,1.63
2017,Devin Funchess,9474,WR,16,CAR,109,63,840,515,1.63
2017,Travaris Cadet,7457,HB,7,BUF,19,16,119,73,1.63
2017,Michael Crabtree,4933,WR,14,OAK,99,58,618,382,1.62
2017,Keelan Cole,51593,WR,16,JAX,73,42,748,465,1.61
2017,Dez Bryant,5549,WR,16,DAL,126,69,838,519,1.61
2017,Mike Thomas,10840,WR,6,LA,7,5,93,58,1.6
2017,Nelson Agholor,9453,WR,16,PHI,91,62,768,480,1.6
